"accession","latitude","longitude","family","genus","country","state","county","locality","date","collector"
9038674,38.07,-120.42,"Telemidae","Usofila","USA","California","Tuolumne","McLean's Cave, WSI #C-146, 3 mi N Columbia",NA,"Rudolph, Martin, Winterath, Elliot, Reddell"
9038675,38.06,-120.43,"Telemidae","Usofila","USA","California","Tuolumne","McLean's Cave, WSI #C-146, 4.6 km NNW Columbia",NA,"WR Elliott, AG Grubbs, SA Winterath"
9038676,38.08,-120.4,"Telemidae","Usofila","USA","California","Tuolumne","Crystal Palace Cave, WSI #C-60 and C-64, 3 mi N of Columbia",NA,"Rudolph, Martin"
9038677,38.05,-120.39,"Telemidae","Usofila","USA","California","Tuolumne","Mine, 2 mi N of Columbia",NA,"DC Rudolph, S Winterath"
9038678,38.05,-120.39,"Telemidae","Usofila","USA","California","Tuolumne","Transplant Mine, 3.7 km N Columbia",NA,"WR Elliott, AG Grubbs, SA Winterath"
9038680,38.08,-120.4,"Telemidae","Usofila","USA","California","Tuolumne","Crystal Palace Cave, WSI #C-60 and C-64, 3 mi N of Columbia",NA,"DC Rudolph, S Winterath"
9038681,38.07,-120.42,"Telemidae","Usofila","USA","California","Tuolumne","McLeans Cave, WSI #C-146, 7 mi E Angels Camp",NA,"AG Grubbs, S Winterrath, D Broussard"
9038731,38.07,-120.42,"Telemidae","Usofila","USA","California","Tuolumne","McLean's Cave",NA,"T Brigg"
9038999,38.07,-120.42,"Telemidae","Usofila","USA","California","Tuolumne","2.5 mi N of Columbia, Mclean's Cave",NA,"DH Kavanaugh, GC Hunter, D Ubick"
9038508,38.93,-122.24,"Telemidae","Usofila","USA","California","Yolo","3miN Rumsey",NA,"Smith, Schuster"
