Course,Year,StudentSeqID,Exam,Exam %,LecturesViewed,UniqueViews,TotalViewDuration,DaysBeforeExam
1,1,44,2,45.7142857142857,0,0,0,0
1,1,44,3,53,0,0,0,0
1,1,45,1,62.5,2,4,144.033333333333,0
1,1,45,2,68.5714285714286,2,2,78.4666666666667,1
1,1,45,3,51.5,2,2,36.9333333333333,0
1,1,46,1,65,0,0,0,0
1,1,46,2,54.2857142857143,1,1,92.0333333333333,0
1,1,46,3,61,2,2,166.216666666667,34
1,1,47,1,60,0,0,0,0
1,1,47,2,37.1428571428572,0,0,0,0
1,1,47,3,48.5,0,0,0,0
1,1,48,1,47.5,0,0,0,0
1,1,48,2,34.2857142857143,0,0,0,0
1,1,48,3,40,0,0,0,0
1,1,49,1,57.5,1,1,14.1666666666667,0
1,1,49,2,45.7142857142857,1,1,10.2166666666667,0
1,1,49,3,55,0,0,0,0
1,1,50,1,50,0,0,0,0
1,1,50,2,40,2,2,92.65,2
1,1,51,1,47.5,0,0,0,0
1,1,51,2,48.5714285714286,0,0,0,0
1,1,51,3,54,0,0,0,0
1,1,52,1,57.5,1,3,97.2166666666667,39
1,1,52,2,31.4285714285714,1,1,16.6167,10
1,1,52,3,49,4,6,188.583333333333,50
1,1,53,1,80,0,0,0,0
1,1,53,2,71.4285714285714,0,0,0,0
1,1,53,3,64,0,0,0,0
1,1,54,1,70,0,0,0,0
1,1,54,2,60,0,0,0,0
1,1,54,3,63,0,0,0,0
1,1,55,1,85,1,1,109.433333333333,3
1,1,55,2,82.8571428571429,2,4,143.766666666667,23
1,1,55,3,93,2,4,129.116666666667,42
1,1,56,1,50,0,0,0,0
1,1,56,2,48.5714285714286,0,0,0,0
1,1,56,3,56.5,0,0,0,0
1,1,57,1,70,0,0,0,0
1,1,57,2,62.8571428571429,0,0,0,0
1,1,57,3,72,3,6,249.1,21
1,1,58,1,57.5,0,0,0,0
1,1,58,2,54.2857142857143,0,0,0,0
1,1,58,3,72,0,0,0,0
1,1,59,1,77.5,0,0,0,0
1,1,59,2,68.5714285714286,0,0,0,0
1,1,59,3,79,3,3,109.283333333333,0
1,1,60,1,70,0,0,0,0
1,1,60,2,65.7142857142857,0,0,0,0
1,1,60,3,65,1,2,36.65,3
1,1,61,1,52.5,0,0,0,0
1,1,61,2,51.4285714285714,1,1,33.917,4
1,1,61,3,52.5,4,8,317.316666666667,8
1,1,62,1,82.5,4,8,290.583333333333,1
1,1,62,2,82.8571428571429,3,7,339.933333333333,7
1,1,62,3,88,4,5,348.35,4
1,1,63,1,52.5,0,0,0,0
1,1,63,2,45.7142857142857,0,0,0,0
1,1,63,3,58.5,0,0,0,0
1,1,64,1,57.5,0,0,0,0
1,1,64,2,40,0,0,0,0
1,1,64,3,42.5,0,0,0,0
1,1,65,1,72.5,0,0,0,0
1,1,65,2,57.1428571428571,0,0,0,0
1,1,65,3,60.5,2,3,122.333333333333,1
1,1,66,1,42.5,0,0,0,0
1,1,66,2,42.8571428571429,0,0,0,0
1,1,66,3,56,0,0,0,0
1,1,67,1,75,1,2,89.1666666666667,0
1,1,67,2,82.8571428571429,3,5,127.65,4
1,1,67,3,81,4,14,542.216666666667,9
1,1,68,1,55,0,0,0,0
1,1,68,2,51.4285714285714,0,0,0,0
1,1,68,3,52.5,0,0,0,0
1,1,69,1,52.5,0,0,0,0
1,1,69,2,62.8571428571429,0,0,0,0
1,1,69,3,69,0,0,0,0
1,1,70,1,62.5,0,0,0,0
1,1,70,2,51.4285714285714,0,0,0,0
1,1,70,3,55,0,0,0,0
1,1,71,1,60,3,4,72.7333333333334,1
1,1,71,2,37.1428571428572,1,3,24.5333333333333,3
1,1,71,3,47,0,0,0,0
1,1,72,1,70,0,0,0,0
1,1,72,2,65.7142857142857,4,7,111.316666666667,4
1,1,72,3,87,4,8,600.233333333333,40
1,1,73,1,90,0,0,0,0
1,1,73,2,91.4285714285714,0,0,0,0
1,1,73,3,90,0,0,0,0
1,1,74,1,90,1,1,5.06666666666667,5
1,1,74,2,91.4285714285714,0,0,0,0
1,1,74,3,99,3,4,258.716666666667,7
1,1,75,1,62.5,0,0,0,0
1,1,75,2,68.5714285714286,1,1,34.2833333333333,0
1,1,75,3,76,3,5,123.316666666667,6
1,1,76,1,92.5,1,1,101.266666666667,1
1,1,76,2,74.2857142857143,0,0,0,0
1,1,76,3,80,0,0,0,0
1,1,77,1,47.5,0,0,0,0
1,1,77,2,40,0,0,0,0
1,1,77,3,70.5,0,0,0,0
2,3,78,1,70,4,9,480,8
2,3,78,2,68,2,2,176,0
2,3,78,3,61,4,8,326,5
2,3,79,1,64.1666666666667,0,0,0,0
2,3,79,2,78,0,0,0,0
2,3,79,3,71.5,4,6,403,15
2,3,80,1,71.6666666666667,4,21,696,209
2,3,80,2,80,0,0,0,0
2,3,80,3,71,4,8,331,2
2,3,81,2,70,0,0,0,0
2,3,81,3,64.5,0,0,0,0
2,3,82,1,57.5,2,3,54,1
2,3,82,2,50,0,0,0,0
2,3,82,3,56,1,2,23,0
2,3,83,2,76,1,1,35,1
2,3,83,3,70,0,0,0,0
2,3,84,1,50,0,0,0,0
2,3,84,2,62,2,2,64,1
2,3,84,3,73.5,4,6,394,7
2,3,85,1,44.1666666666667,0,0,0,0
2,3,85,2,78,0,0,0,0
2,3,85,3,44.5,0,0,0,0
2,3,86,1,53.3333333333333,1,1,6,24
2,3,86,2,80,2,2,199,0
2,3,86,3,79,0,0,0,0
2,3,87,1,40.8333333333333,0,0,0,0
2,3,87,2,66,0,0,0,0
2,3,87,3,71,0,0,0,0
2,3,88,1,33.3333333333333,0,0,0,0
2,3,88,2,50,0,0,0,0
2,3,88,3,70,0,0,0,0
2,3,89,1,50,0,0,0,0
2,3,89,2,54,0,0,0,0
2,3,89,3,58,0,0,0,0
2,3,90,1,50,0,0,0,0
2,3,90,2,88,2,3,120,0
2,3,90,3,78,2,3,196,0
2,3,91,1,54.1666666666667,2,5,53,12
2,3,91,2,68,2,6,141,9
2,3,91,3,67,3,7,261,4
2,3,92,1,66.6666666666667,4,11,182,22
2,3,92,2,68,1,1,24,1
2,3,92,3,71,3,6,65,21
2,3,93,1,48.3333333333333,1,1,28,1
2,3,93,2,56,0,0,0,0
2,3,93,3,47,0,0,0,0
2,3,94,1,39.1666666666667,3,3,134,0
2,3,94,2,58,0,0,0,0
2,3,94,3,70.5,0,0,0,0
2,3,95,1,31.6666666666667,0,0,0,0
2,3,95,2,72,0,0,0,0
2,3,95,3,67.5,0,0,0,0
2,3,96,1,81.6666666666667,2,9,181,9
2,3,96,2,94,1,1,2,0
2,3,96,3,84,1,1,89,0
2,3,97,1,91.6666666666667,4,14,407,45
2,3,97,2,82,2,2,186,0
2,3,97,3,74.5,4,8,479,22
2,3,98,1,65,0,0,0,0
2,3,98,2,82,0,0,0,0
2,3,98,3,78,0,0,0,0
2,3,99,1,39.1666666666667,0,0,0,0
2,3,99,2,58,2,2,99,4
2,3,99,3,48.5,0,0,0,0
2,3,100,1,40.8333333333333,0,0,0,0
2,3,100,2,64,0,0,0,0
2,3,100,3,61.5,0,0,0,0
2,3,101,1,45.8333333333333,1,4,79,7
2,3,101,2,60,1,2,5,1
2,3,101,3,60,3,5,287,2
2,3,102,1,38.3333333333333,4,7,217,16
2,3,102,2,76,0,0,0,0
2,3,102,3,70,0,0,0,0
2,3,103,2,92,0,0,0,0
2,3,103,3,66,2,3,203,5
2,3,104,1,51.6666666666667,4,11,390,62
2,3,104,2,58,2,2,153,0
2,3,104,3,62.5,3,3,175,0
2,3,105,1,38.3333333333333,3,5,198,0
2,3,105,2,76,0,0,0,0
2,3,105,3,65,0,0,0,0
2,3,106,1,48.3333333333333,4,4,149,1
2,3,106,2,76,0,0,0,0
2,3,106,3,67,0,0,0,0
2,3,107,1,55.8333333333333,4,12,311,59
2,3,107,2,72,1,2,104,3
2,3,107,3,63,0,0,0,0
2,3,108,1,60.8333333333333,3,6,221,62
2,3,108,2,52,2,3,173,6
2,3,108,3,68,1,3,90,3
2,3,109,1,86.6666666666667,4,16,371,99
2,3,109,2,92,2,7,131,6
2,3,109,3,91,4,13,393,31
2,3,110,1,75.8333333333333,4,5,385,8
2,3,110,2,88,2,2,192,4
2,3,110,3,77,0,0,0,0
2,3,111,1,93.3333333333333,4,7,357,14
2,3,111,2,86,2,3,33,3
2,3,111,3,88,4,10,431,14
2,3,112,1,86.6666666666667,4,5,359,2
2,3,112,2,82,0,0,0,0
2,3,112,3,81,0,0,0,0
2,3,113,1,59.1666666666667,4,9,209,10
2,3,113,2,84,2,5,108,0
2,3,113,3,72,4,4,155,0
2,3,114,1,75.8333333333333,4,38,1175,348
2,3,114,2,84,2,8,261,21
2,3,114,3,89,4,12,561,294
2,3,115,1,42.5,4,8,253,4
2,3,115,2,62,2,3,186,0
2,3,115,3,78.5,3,5,136,0
2,3,116,1,28.3333333333333,0,0,0,0
2,3,116,2,70,0,0,0,0
2,3,116,3,69.5,0,0,0,0
2,3,117,1,45,0,0,0,0
2,3,117,2,82,2,3,73,0
2,3,117,3,79,3,3,91,0
2,3,118,1,40,1,1,73,28
2,3,118,3,62.5,0,0,0,0
2,3,119,1,72.5,2,2,150,2
2,3,119,2,70,0,0,0,0
2,3,119,3,67.5,0,0,0,0
2,3,120,1,35,0,0,0,0
2,3,120,2,60,0,0,0,0
2,3,120,3,60,0,0,0,0
2,3,121,1,51.6666666666667,1,1,37,0
2,3,121,2,58,1,1,94,0
2,3,121,3,71.5,4,7,270,2
2,3,122,1,48.3333333333333,1,1,52,1
2,3,122,2,68,2,4,181,1
2,3,122,3,57,4,12,373,48
2,3,123,1,35.8333333333333,2,2,82,6
2,3,123,2,74,0,0,0,0
2,3,123,3,71,0,0,0,0
2,3,124,1,65.8333333333333,4,8,370,4
2,3,124,2,88,0,0,0,0
2,3,124,3,75,3,3,302,0
2,3,125,1,54.1666666666667,4,6,375,12
2,3,125,2,86,0,0,0,0
2,3,125,3,81.5,0,0,0,0
2,3,126,1,26.6666666666667,2,2,110,5
2,3,126,2,72,0,0,0,0
2,3,126,3,73.5,1,1,35,0
2,3,127,1,46.6666666666667,2,2,201,0
2,3,127,2,76,0,0,0,0
2,3,127,3,69.5,0,0,0,0
2,3,128,1,55,1,4,78,4
2,3,128,2,78,0,0,0,0
2,3,128,3,72,0,0,0,0
2,3,129,1,57.5,4,6,191,14
2,3,129,2,68,1,1,98,2
2,3,129,3,61.5,4,6,502,29
2,3,130,1,75,0,0,0,0
2,3,130,2,72,0,0,0,0
2,3,130,3,72,1,1,103,19
2,3,131,1,38.3333333333333,0,0,0,0
2,3,131,2,76,0,0,0,0
2,3,131,3,71,0,0,0,0
2,3,132,1,61.6666666666667,4,5,377,12
2,3,132,2,72,2,2,165,4
2,3,132,3,72,3,3,249,5
2,3,133,1,30,0,0,0,0
2,3,133,2,72,0,0,0,0
2,3,133,3,67.5,0,0,0,0
2,3,134,1,51.6666666666667,0,0,0,0
2,3,134,2,72,0,0,0,0
2,3,134,3,72.5,0,0,0,0
2,3,135,1,78.3333333333333,4,5,372,6
2,3,135,2,78,2,3,192,4
2,3,135,3,91,4,6,394,17
2,3,136,1,75.8333333333333,0,0,0,0
2,3,136,2,90,0,0,0,0
2,3,136,3,93,0,0,0,0
2,3,137,1,35,1,2,40,3
2,3,137,2,64,0,0,0,0
2,3,137,3,69,0,0,0,0
2,3,138,1,41.6666666666667,0,0,0,0
2,3,138,2,76,0,0,0,0
2,3,138,3,72,0,0,0,0
2,3,139,1,31.6666666666667,4,5,278,31
2,3,139,2,72,1,1,6,32
2,3,139,3,66,0,0,0,0
2,3,140,1,50,0,0,0,0
2,3,140,2,70,1,1,95,2
2,3,140,3,66,0,0,0,0
2,3,141,1,82.5,0,0,0,0
2,3,141,2,90,0,0,0,0
2,3,141,3,78,4,5,400,16
2,3,142,1,49.1666666666667,4,8,307,14
2,3,142,2,78,0,0,0,0
2,3,142,3,70,0,0,0,0
2,3,143,1,51.6666666666667,4,6,395,24
2,3,143,2,88,2,2,99,7
2,3,143,3,75.5,4,6,481,11
2,3,144,1,67.5,0,0,0,0
2,3,144,2,94,2,2,172,0
2,3,144,3,78,0,0,0,0
2,3,145,1,62.5,1,7,313,2
2,3,145,2,80,0,0,0,0
2,3,145,3,72,0,0,0,0
2,3,146,1,44.1666666666667,4,10,267,14
2,3,146,2,80,1,5,74,2
2,3,146,3,74.5,0,0,0,0
2,3,147,1,53.3333333333333,0,0,0,0
2,3,147,2,88,0,0,0,0
2,3,147,3,68.5,0,0,0,0
2,3,148,1,66.6666666666667,0,0,0,0
2,3,148,2,60,0,0,0,0
2,3,148,3,70,4,7,384,9
2,3,149,1,45,1,1,58,0
2,3,149,2,66,0,0,0,0
2,3,149,3,67.5,4,7,341,6
2,3,150,1,65,0,0,0,0
2,3,150,2,70,0,0,0,0
2,3,150,3,71.5,0,0,0,0
2,3,151,1,70,0,0,0,0
2,3,151,2,86,0,0,0,0
2,3,151,3,79.5,0,0,0,0
2,3,152,1,49.1666666666667,2,2,172,0
2,3,152,2,50,0,0,0,0
2,3,152,3,64.5,0,0,0,0
2,3,153,1,64.1666666666667,0,0,0,0
2,3,153,2,78,0,0,0,0
2,3,153,3,73.5,4,6,369,7
2,3,154,1,49.1666666666667,1,1,17,1
2,3,154,2,78,0,0,0,0
2,3,154,3,61.5,1,1,34,0
2,3,155,1,83.3333333333333,2,2,23,6
2,3,155,2,86,0,0,0,0
2,3,155,3,84.5,1,1,0,0
2,3,156,1,52.5,1,1,31,1
2,3,156,2,82,0,0,0,0
2,3,156,3,68,2,6,208,4
2,3,157,1,55.8333333333333,4,10,235,57
2,3,157,2,76,1,6,93,4
2,3,157,3,70.5,3,9,311,37
2,3,158,1,60.8333333333333,4,5,335,2
2,3,158,2,72,2,3,196,0
2,3,158,3,76.5,4,13,411,13
2,3,159,1,37.5,0,0,0,0
2,3,159,2,64,0,0,0,0
2,3,159,3,64,0,0,0,0
2,3,160,1,50,3,3,214,2
2,3,160,2,78,1,1,63,1
2,3,160,3,65,0,0,0,0
2,3,161,1,48.3333333333333,0,0,0,0
2,3,161,2,78,0,0,0,0
2,3,161,3,77,1,1,545,0
2,3,162,1,76.6666666666667,0,0,0,0
2,3,162,2,84,2,2,196,2
2,3,162,3,87,4,4,395,0
2,3,163,1,65.8333333333333,4,4,389,6
2,3,163,2,84,2,2,51,2
2,3,163,3,75,2,2,105,52
2,3,164,1,63.3333333333333,0,0,0,0
2,3,164,2,84,0,0,0,0
2,3,164,3,84,1,1,87,2
2,3,165,1,60,0,0,0,0
2,3,165,2,66,0,0,0,0
2,3,165,3,71.5,2,2,186,2
2,3,166,1,46.6666666666667,2,3,100,25
2,3,166,2,70,0,0,0,0
2,3,166,3,71.5,0,0,0,0
2,3,167,1,68.3333333333333,4,7,376,14
2,3,167,2,78,1,1,92,1
2,3,167,3,75,4,7,387,21
2,3,168,1,58.3333333333333,3,5,281,19
2,3,168,2,86,0,0,0,0
2,3,168,3,78,4,7,394,2
2,3,169,1,27.5,4,10,316,45
2,3,169,2,78,1,3,70,8
2,3,169,3,73,1,3,97,4
2,3,170,1,51.6666666666667,4,13,312,27
2,3,170,2,60,2,5,101,8
2,3,170,3,64,0,0,0,0
2,3,171,1,59.1666666666667,4,6,67,15
2,3,171,2,68,0,0,0,0
2,3,171,3,64.5,3,11,102,109
2,3,172,1,70,0,0,0,0
2,3,172,2,78,2,2,36,2
2,3,172,3,72.5,0,0,0,0
2,3,173,1,53.3333333333333,1,1,14,1
2,3,173,2,76,0,0,0,0
2,3,173,3,68,2,3,103,4
2,3,174,1,54.1666666666667,0,0,0,0
2,3,174,2,72,1,1,80,0
2,3,174,3,61.5,1,1,83,1
2,3,175,1,55,4,10,316,9
2,3,175,2,88,0,0,0,0
2,3,175,3,64,3,4,155,6
2,3,176,1,45.8333333333333,2,2,88,2
2,3,176,2,80,0,0,0,0
2,3,176,3,71.5,0,0,0,0
2,3,177,1,40,2,2,44,2
2,3,177,2,60,1,1,102,1
2,3,177,3,70,4,10,406,41
2,3,178,1,49.1666666666667,3,4,82,0
2,3,178,2,64,0,0,0,0
2,3,178,3,64,1,2,70,3
2,3,179,1,88.3333333333333,1,1,5,27
2,3,179,2,90,2,3,109,0
2,3,179,3,84,4,8,290,6
2,3,180,1,55,1,1,16,1
2,3,180,2,80,0,0,0,0
2,3,180,3,73,0,0,0,0
2,3,181,1,35,0,0,0,0
2,3,181,2,84,0,0,0,0
2,3,182,1,48.3333333333333,0,0,0,0
2,3,182,2,80,0,0,0,0
2,3,182,3,66.5,4,6,424,3
2,3,183,1,40.8333333333333,0,0,0,0
2,3,183,2,80,0,0,0,0
2,3,183,3,66,0,0,0,0
2,3,184,1,46.6666666666667,4,7,261,8
2,3,184,2,82,0,0,0,0
2,3,184,3,67,2,4,77,9
2,3,185,1,81.6666666666667,4,6,241,14
2,3,185,2,88,1,1,10,0
2,3,185,3,79.5,4,7,344,5
2,3,186,1,52.5,4,8,344,47
2,3,186,2,78,0,0,0,0
2,3,186,3,68.5,0,0,0,0
2,3,187,1,79.1666666666667,0,0,0,0
2,3,187,2,76,2,3,192,0
2,3,187,3,71,4,4,392,0
2,3,188,2,48,0,0,0,0
2,3,188,3,56.5,0,0,0,0
2,3,189,1,50,1,1,19,5
2,3,189,2,78,0,0,0,0
2,3,189,3,69.5,1,1,35,5
2,3,190,1,36.6666666666667,0,0,0,0
2,3,190,2,62,0,0,0,0
2,3,190,3,56.5,0,0,0,0
2,3,191,1,1.66666666666667,0,0,0,0
2,3,191,2,72,0,0,0,0
2,3,191,3,71.5,1,1,58,0
2,3,192,1,75,4,4,379,1
2,3,192,2,84,2,2,8,0
2,3,192,3,71,3,4,307,0
2,3,193,1,38.3333333333333,2,2,38,12
2,3,193,2,82,0,0,0,0
2,3,193,3,76.5,1,1,97,0
2,3,194,1,71.6666666666667,0,0,0,0
2,3,194,2,78,0,0,0,0
2,3,194,3,84,4,7,497,37
2,3,195,1,43.3333333333333,0,0,0,0
2,3,195,2,80,0,0,0,0
2,3,195,3,63.5,0,0,0,0
2,3,196,1,52.5,1,1,22,0
2,3,196,2,82,1,2,28,4
2,3,196,3,78,0,0,0,0
2,3,197,1,68.3333333333333,1,2,103,1
2,3,197,2,80,0,0,0,0
2,3,197,3,75,2,2,221,0
2,3,198,1,64.1666666666667,4,8,218,17
2,3,198,2,72,1,1,5,0
2,3,198,3,82.5,4,5,76,12
2,3,199,1,44.1666666666667,3,7,156,15
2,3,199,2,82,1,1,1,1
2,3,199,3,75.5,0,0,0,0
